,Country,Lat,Long,Confirmed,Deaths,Recovered,Recovery_percent,Death_percent
95,Chile,-19.9232,-69.5132,13046,245,12555,0.9623639429710256,1.877970259083244
96,Chile,,,49,1,49,1.0,2.0408163265306123
97,Chile,-33.0472,-71.6127,30671,1075,29167,0.9509634508167324,3.5049395194157347
98,China,31.8257,117.2264,991,6,985,0.9939455095862765,0.6054490413723511
99,China,40.1824,116.4142,945,9,929,0.9830687830687831,0.9523809523809524
100,China,30.0572,107.874,589,6,580,0.9847198641765704,1.0186757215619695
101,China,26.0789,117.9874,446,1,415,0.9304932735426009,0.2242152466367713
102,China,35.7518,104.2861,180,2,168,0.9333333333333333,1.1111111111111112
103,China,23.3417,113.4244,1941,8,1899,0.9783616692426584,0.4121586810922205
104,China,23.8298,108.7881,260,2,258,0.9923076923076923,0.7692307692307693
105,China,26.8154,106.8748,147,2,145,0.9863945578231292,1.3605442176870748
106,China,19.1959,109.7453,171,6,165,0.9649122807017544,3.5087719298245608
107,China,37.8957,114.9042,373,6,360,0.9651474530831099,1.6085790884718498
108,China,47.861999999999995,127.7615,949,13,935,0.9852476290832455,1.3698630136986298
109,China,33.882,113.61399999999999,1286,22,1258,0.9782270606531882,1.7107309486780715
110,China,22.3,114.2,5355,107,5126,0.9572362278244632,1.9981325863678805
111,China,30.9756,112.2707,68143,4512,63627,0.9337276022482133,6.621369766520406
112,China,27.6104,111.7088,1020,4,1015,0.9950980392156863,0.392156862745098
113,China,44.0935,113.9448,300,1,270,0.9,0.3333333333333333
114,China,32.9711,119.455,674,0,666,0.9881305637982196,0.0
115,China,27.614,115.7221,935,1,934,0.9989304812834224,0.106951871657754
116,China,43.6661,126.1923,157,2,155,0.9872611464968153,1.2738853503184713
117,China,41.2956,122.6085,284,2,279,0.9823943661971831,0.7042253521126759
118,China,22.1667,113.55,46,0,46,1.0,0.0
119,China,37.2692,106.1655,75,0,75,1.0,0.0
120,China,35.7452,95.9956,18,0,18,1.0,0.0
121,China,35.1917,108.8701,459,3,428,0.9324618736383442,0.6535947712418301
122,China,36.3427,118.1498,848,7,838,0.9882075471698113,0.8254716981132075
123,China,31.201999999999998,121.4491,1223,7,1116,0.9125102207686018,0.5723630417007359
124,China,37.5777,112.2922,216,0,211,0.9768518518518519,0.0
125,China,30.6171,102.7103,763,3,717,0.9397116644823067,0.3931847968545216
126,China,39.3054,117.323,275,3,259,0.9418181818181818,1.0909090909090908
127,China,31.6927,88.0924,1,0,1,1.0,0.0
128,China,41.1129,85.2401,980,3,899,0.9173469387755102,0.30612244897959184
129,China,24.974,101.48700000000001,214,2,208,0.9719626168224299,0.9345794392523364
130,China,29.1832,120.0934,1288,1,1279,0.9930124223602484,0.07763975155279502
131,Colombia,-1.4429,-71.5724,2940,120,2792,0.9496598639455782,4.081632653061225
132,Colombia,7.1986,-75.3412,178735,3360,163000,0.9119646403894033,1.8798780317229415
133,Colombia,7.0762,-70.7105,3457,99,3098,0.8961527335840324,2.8637547006074637
134,Colombia,10.6966,-74.8741,72805,3140,68219,0.9370098207540691,4.312890598173202
135,Colombia,8.6704,-74.03,33776,854,32042,0.9486617716721932,2.528422548555187
136,Colombia,5.4545,-73.362,15994,325,13064,0.8168063023633862,2.0320120045016883
137,Colombia,5.2983,-75.2479,15982,315,12567,0.7863221123764235,1.9709673382555373
138,Colombia,4.711,-74.0721,329879,7787,301106,0.9127771091824578,2.360562509283707
139,Colombia,0.8699,-73.8419,11687,406,10382,0.8883374689826302,3.4739454094292803
140,Colombia,5.7589,-71.5724,5428,103,4611,0.8494841562269713,1.8975681650700076
141,Colombia,2.705,-76.82600000000002,13793,395,12092,0.8766765750743131,2.863771478286087
142,Colombia,9.3373,-73.6536,26920,830,24152,0.8971768202080238,3.0832095096582472
143,Colombia,5.2528,-76.82600000000002,4216,163,3946,0.9359582542694497,3.8662239089184065
144,Colombia,8.0493,-75.574,26653,1624,23961,0.8989982365962556,6.093122725396767
145,Colombia,5.026,-74.03,43962,1254,40355,0.9179518675219508,2.8524634911969433
146,Colombia,2.5854,-68.5247,1152,18,1124,0.9756944444444444,1.5625
147,Colombia,1.0654,-73.2603,1565,25,1445,0.9233226837060703,1.597444089456869
148,Colombia,2.5359,-75.5277,24830,714,21797,0.8778493757551349,2.8755537656061216
149,Colombia,11.3548,-72.5205,10444,420,9537,0.9131558789735733,4.021447721179625
150,Colombia,10.4113,-74.4057,17623,915,15985,0.9070532826420019,5.192078533734326
151,Colombia,3.272,-73.0877,24084,550,22335,0.9273791728948679,2.2836738083374857
152,Colombia,1.2892,-77.3579,22572,778,20157,0.8930090377458798,3.4467481835902887
153,Colombia,7.9463,-72.8988,22522,1127,19895,0.8833584939170589,5.003996092709352
154,Colombia,0.436,-75.5277,4496,206,4043,0.8992437722419929,4.581850533807829
155,Colombia,4.461,-75.6674,11431,280,9516,0.8324730994663634,2.449479485609308
156,Colombia,5.3158,-75.9928,18618,430,16464,0.8843055107960038,2.3095928671178427
157,Colombia,12.5567,-81.7185,1931,31,1822,0.9435525634386328,1.6053858104609011
158,Colombia,6.6437,-73.6536,44184,1742,38885,0.8800697084917617,3.9426036574325543
159,Colombia,8.814,-74.7233,15576,619,14499,0.9308551617873652,3.9740626605033382
160,Colombia,4.0925,-75.1545,21676,664,19079,0.880190071968998,3.063295811035246
161,Colombia,,,0,0,0,,
162,Colombia,3.8009,-76.6413,87139,2893,77340,0.8875474816098418,3.319983015641676
163,Colombia,0.8554,-70.812,1071,12,1048,0.9785247432306255,1.1204481792717087
164,Colombia,4.4234,-69.2878,836,10,808,0.9665071770334929,1.1961722488038278
165,Comoros,-11.6455,43.3333,557,7,525,0.9425493716337523,1.2567324955116697
166,Congo (Brazzaville),-0.228,15.8277,5348,92,3887,0.7268137621540763,1.7202692595362752
